,Tm,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%3PA,3P%, ,Att.,#,Season Year
115,Cleveland Cavaliers,18,4320,.493,14.3,,.592,.290,.126,.068,.108,.408,,.544,.675,.418,.327,.469,.420,,.437,.730,,.055,77,,.284,.445,,1,0,2017
116,Golden State Warriors,17,4080,.494,14.6,,.622,.281,.112,.117,.112,.378,,.559,.709,.418,.428,.458,.386,,.625,.731,,.078,109,,.190,.425,,11,0,2017
117,Houston Rockets,11,2665,.439,14.0,,.548,.344,.118,.043,.045,.452,,.525,.602,.400,.500,.262,.333,,.424,.716,,.045,40,,.173,.411,,3,0,2017
118,Indiana Pacers,4,960,.466,14.1,,.670,.230,.184,.109,.147,.330,,.502,.550,.500,.447,.471,.391,,.513,.667,,.037,12,,.235,.444,,1,0,2017
119,Los Angeles Clippers,7,1680,.473,13.8,,.696,.276,.139,.132,.148,.304,,.528,.732,.413,.437,.338,.348,,.429,.772,,.072,36,,.195,.438,,4,0,2017
120,Memphis Grizzlies,6,1465,.449,13.1,,.687,.292,.156,.119,.121,.313,,.478,.533,.472,.418,.411,.386,,.454,.786,,.030,13,,.248,.417,,2,0,2017
121,Milwaukee Bucks,6,1440,.446,12.2,,.723,.316,.186,.100,.124,.277,,.457,.588,.345,.362,.362,.415,,.484,.963,,.062,25,,.300,.436,,0,0,2017
122,Oklahoma City Thunder,5,1200,.442,12.8,,.691,.336,.121,.103,.130,.309,,.500,.605,.415,.333,.439,.311,,.444,.762,,.073,26,,.185,.280,,3,0,2017
123,Portland Trail Blazers,4,960,.397,14.3,,.620,.279,.131,.103,.109,.380,,.441,.500,.426,.378,.359,.324,,.337,.682,,.056,15,,.206,.357,,1,0,2017
124,San Antonio Spurs,16,3890,.462,12.7,,.718,.300,.149,.137,.130,.282,,.506,.651,.408,.400,.400,.350,,.435,.891,,.051,62,,.292,.377,,5,0,2017
125,Toronto Raptors,10,2400,.444,13.0,,.704,.282,.167,.096,.160,.296,,.491,.576,.504,.316,.433,.332,,.469,.859,,.044,28,,.379,.360,,1,0,2017
126,Utah Jazz,11,2640,.455,13.5,,.669,.233,.194,.144,.099,.331,,.499,.682,.503,.315,.329,.365,,.465,.798,,.060,48,,.249,.423,,1,0,2017
127,Washington Wizards,13,3145,.457,13.4,,.698,.297,.130,.118,.153,.302,,.518,.612,.426,.485,.443,.317,,.502,.817,,.038,41,,.224,.312,,5,0,2017
128,Atlanta Hawks,10,2425,.432,13.4,,.625,.333,.114,.070,.106,.375,,.491,.592,.474,.390,.267,.333,,.512,.877,,.033,26,,.208,.318,,0,0,2016
129,Boston Celtics,6,1465,.384,13.3,,.648,.356,.074,.082,.136,.352,,.443,.513,.400,.455,.274,.275,,.526,.846,,.019,10,,.249,.340,,1,0,2016
130,Charlotte Hornets,7,1680,.396,11.5,,.769,.339,.178,.115,.137,.231,,.423,.508,.380,.369,.312,.308,,.366,.700,,.021,10,,.138,.278,,1,0,2016
131,Cleveland Cavaliers,21,5040,.469,13.8,,.630,.290,.132,.097,.111,.370,,.506,.643,.344,.413,.421,.406,,.437,.798,,.060,95,,.287,.456,,4,0,2016
132,Dallas Mavericks,5,1200,.436,12.6,,.736,.293,.163,.123,.160,.264,,.488,.605,.394,.360,.462,.290,,.521,.871,,.057,20,,.215,.304,,2,0,2016
133,Detroit Pistons,4,960,.478,12.6,,.691,.296,.176,.126,.093,.309,,.524,.674,.358,.421,.500,.376,,.505,.914,,.027,8,,.323,.500,,1,0,2016
134,Golden State Warriors,24,5785,.455,14.3,,.621,.278,.131,.125,.088,.379,,.492,.618,.372,.395,.409,.393,,.532,.810,,.056,105,,.230,.413,,9,0,2016
135,Houston Rockets,5,1200,.386,13.1,,.668,.234,.243,.112,.079,.332,,.444,.600,.337,.354,.441,.268,,.480,.763,,.063,25,,.289,.268,,3,0,2016
136,Indiana Pacers,7,1680,.441,13.1,,.716,.267,.177,.090,.181,.284,,.464,.550,.366,.404,.463,.383,,.460,.825,,.048,24,,.336,.340,,1,0,2016
137,Los Angeles Clippers,6,1440,.437,13.3,,.771,.237,.176,.155,.202,.229,,.481,.669,.411,.405,.379,.291,,.418,.882,,.061,29,,.120,.214,,1,0,2016
138,Memphis Grizzlies,4,960,.394,11.6,,.803,.354,.154,.080,.218,.197,,.418,.487,.240,.423,.423,.297,,.459,.842,,.031,9,,.234,.333,,2,0,2016
139,Miami Heat,14,3435,.458,12.7,,.762,.257,.192,.146,.169,.238,,.489,.645,.444,.433,.347,.358,,.362,.802,,.041,39,,.351,.404,,5,0,2016
140,Oklahoma City Thunder,18,4320,.452,12.9,,.705,.297,.134,.129,.147,.295,,.502,.632,.377,.367,.471,.333,,.458,.819,,.059,79,,.304,.368,,3,0,2016
141,Portland Trail Blazers,11,2665,.416,14.3,,.649,.264,.123,.123,.138,.351,,.436,.548,.339,.380,.356,.381,,.516,.718,,.050,43,,.250,.442,,2,0,2016
142,San Antonio Spurs,10,2400,.470,12.3,,.769,.277,.164,.169,.159,.231,,.481,.596,.481,.374,.397,.432,,.462,.878,,.035,28,,.326,.500,,2,0,2016
143,Toronto Raptors,20,4875,.421,13.4,,.718,.244,.173,.122,.179,.282,,.469,.636,.367,.434,.364,.298,,.380,.774,,.044,61,,.272,.320,,2,0,2016
144,Atlanta Hawks,16,3890,.431,13.1,,.665,.308,.152,.079,.127,.335,,.488,.658,.365,.241,.379,.317,,.587,.821,,.026,34,,.223,.363,,1,0,2015
145,Boston Celtics,4,960,.420,12.4,,.740,.287,.181,.124,.148,.260,,.478,.632,.350,.439,.367,.256,,.504,.955,,.024,7,,.140,.417,,0,0,2015
146,Brooklyn Nets,6,1465,.435,13.5,,.711,.234,.198,.110,.168,.289,,.468,.564,.485,.345,.393,.354,,.512,.882,,.026,13,,.347,.360,,3,0,2015
147,Chicago Bulls,12,2930,.419,13.1,,.706,.307,.140,.108,.150,.294,,.438,.553,.333,.358,.358,.373,,.566,.818,,.043,39,,.207,.492,,6,1,2015
148,Cleveland Cavaliers,20,4875,.420,13.9,,.653,.264,.161,.096,.132,.347,,.462,.644,.326,.333,.356,.340,,.403,.800,,.047,66,,.258,.378,,3,0,2015
149,Dallas Mavericks,5,1200,.452,12.6,,.735,.274,.185,.124,.150,.265,,.503,.675,.365,.509,.362,.311,,.429,.868,,.067,30,,.238,.345,,3,0,2015
150,Golden State Warriors,21,5115,.453,14.0,,.638,.280,.150,.089,.118,.362,,.498,.655,.353,.350,.421,.374,,.584,.775,,.075,119,,.251,.435,,5,1,2015
