,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
76,Denver Nuggets,25.2,9,10,.474,8,11,113.6,116.0,-2.4,94.1,.260,.392,.584,,.545,13.2,23.0,.212,,.551,12.7,76.8,.233,2020
77,Oklahoma City Thunder,25.7,3,4,.429,2,5,102.4,108.7,-6.3,100.1,.281,.428,.542,,.500,15.0,20.1,.217,,.535,11.5,84.6,.146,2020
78,Orlando Magic,27.0,1,4,.200,1,4,102.5,111.3,-8.8,104.4,.237,.449,.547,,.505,13.0,13.5,.199,,.572,14.5,82.0,.177,2020
79,Dallas Mavericks,26.2,2,4,.333,1,5,112.7,122.0,-9.3,102.1,.297,.421,.580,,.549,11.2,16.9,.215,,.579,10.5,80.4,.248,2020
80,Portland Trail Blazers,26.6,1,4,.200,1,4,104.6,115.0,-10.4,101.9,.283,.347,.537,,.492,13.9,21.4,.224,,.552,13.0,72.7,.222,2020
81,Indiana Pacers,26.2,0,4,.000,1,3,104.2,115.1,-10.9,96.7,.252,.399,.565,,.530,14.6,13.7,.196,,.545,13.2,76.9,.288,2020
82,Philadelphia 76ers,26.4,0,4,.000,1,3,105.5,117.9,-12.4,95.2,.381,.360,.512,,.443,10.9,26.8,.310,,.523,9.7,77.6,.255,2020
83,Brooklyn Nets,25.4,0,4,.000,0,4,102.2,122.0,-19.8,103.5,.268,.504,.518,,.482,12.4,18.1,.195,,.592,10.6,79.1,.203,2020
84,Milwaukee Bucks,27.6,10,5,.667,11,4,111.8,103.1,+8.7,99.5,.317,.431,.560,,.523,11.0,21.7,.231,,.474,10.4,83.0,.207,2019
85,Toronto Raptors,28.4,16,8,.667,16,8,110.7,105.1,+5.6,95.4,.275,.407,.561,,.515,10.8,18.9,.228,,.491,13.5,77.7,.233,2019
86,Golden State Warriors,29.1,14,8,.636,13,9,116.2,112.7,+3.5,97.3,.282,.380,.589,,.548,13.1,24.8,.230,,.522,12.2,76.6,.243,2019
87,Houston Rockets,29.5,6,5,.545,7,4,111.8,108.5,+3.3,96.2,.290,.510,.574,,.537,13.3,23.1,.221,,.499,12.7,75.0,.217,2019
88,Philadelphia 76ers,27.2,7,5,.583,7,5,110.7,107.6,+3.1,98.2,.301,.331,.559,,.514,13.9,27.2,.238,,.488,10.8,79.6,.246,2019
89,Denver Nuggets,25.4,7,7,.500,8,6,115.0,113.0,+2.0,92.2,.279,.308,.539,,.496,8.3,27.4,.219,,.497,8.5,74.8,.212,2019
90,Boston Celtics,26.2,5,4,.556,4,5,103.0,104.4,-1.4,99.1,.288,.392,.539,,.491,12.8,16.6,.231,,.492,10.5,82.1,.199,2019
91,Portland Trail Blazers,26.6,8,8,.500,7,9,111.0,112.4,-1.4,95.7,.274,.363,.541,,.501,11.0,24.4,.210,,.503,11.1,72.4,.234,2019
92,San Antonio Spurs,28.3,3,4,.429,3,4,113.0,115.0,-2.0,91.4,.270,.233,.542,,.503,7.7,24.2,.208,,.516,8.3,76.8,.177,2019
93,Oklahoma City Thunder,26.2,1,4,.200,2,3,105.7,111.5,-5.8,99.6,.295,.365,.541,,.500,13.5,22.7,.223,,.519,12.2,75.7,.209,2019
94,Indiana Pacers,27.7,0,4,.000,1,3,97.2,105.1,-7.9,94.4,.246,.356,.496,,.461,10.8,16.6,.177,,.517,14.3,81.1,.206,2019
95,Utah Jazz,27.0,1,4,.200,1,4,99.8,109.2,-9.4,98.0,.296,.414,.501,,.455,13.0,24.9,.222,,.526,13.3,80.5,.219,2019
96,Los Angeles Clippers,26.7,2,4,.333,1,5,112.3,121.9,-9.6,102.1,.323,.355,.563,,.511,11.7,21.9,.264,,.574,12.5,74.5,.251,2019
97,Brooklyn Nets,25.3,1,4,.200,1,4,107.1,117.7,-10.6,104.0,.319,.372,.534,,.480,11.5,22.2,.258,,.542,13.0,67.9,.230,2019
98,Orlando Magic,25.9,1,4,.200,1,4,96.4,111.4,-15.0,95.5,.267,.419,.496,,.451,14.2,20.3,.207,,.550,11.6,82.8,.161,2019
99,Detroit Pistons,26.5,0,4,.000,0,4,97.5,121.1,-23.6,100.5,.171,.344,.471,,.444,8.8,19.8,.124,,.583,12.0,76.4,.246,2019
100,Golden State Warriors,28.4,16,5,.762,17,4,113.9,103.6,+10.3,96.5,.237,.365,.581,,.545,11.9,21.8,.195,,.481,12.3,77.6,.186,2018
101,Indiana Pacers,26.2,3,4,.429,5,2,110.9,104.6,+6.3,90.7,.241,.339,.567,,.542,12.9,21.6,.171,,.503,14.3,77.7,.238,2018
102,Philadelphia 76ers,26.5,5,5,.500,6,4,110.4,106.5,+3.9,97.5,.320,.331,.539,,.493,12.6,29.1,.243,,.514,12.7,80.8,.232,2018
103,Houston Rockets,29.8,11,6,.647,10,7,109.6,107.7,+1.9,95.7,.261,.466,.552,,.514,11.3,20.0,.201,,.530,13.2,80.1,.188,2018
104,Boston Celtics,24.8,11,8,.579,10,9,107.7,107.0,+0.7,93.1,.283,.367,.541,,.500,11.1,20.4,.217,,.518,12.9,79.5,.202,2018
105,Milwaukee Bucks,25.3,3,4,.429,3,4,108.8,109.4,-0.6,92.3,.254,.328,.585,,.561,13.1,14.7,.179,,.503,12.1,75.5,.219,2018
106,New Orleans Pelicans,26.8,5,4,.556,4,5,107.1,107.8,-0.7,102.7,.204,.301,.562,,.533,12.9,17.7,.160,,.514,12.0,78.8,.169,2018
107,Cleveland Cavaliers,30.3,12,10,.545,10,12,109.4,111.2,-1.8,91.6,.282,.370,.550,,.512,12.1,23.5,.212,,.529,11.5,79.4,.195,2018
108,Washington Wizards,27.0,2,4,.333,3,3,110.3,112.3,-2.0,97.2,.274,.256,.561,,.513,12.4,21.2,.233,,.539,13.1,78.1,.239,2018
109,Utah Jazz,25.6,5,6,.455,5,6,104.7,106.9,-2.2,97.8,.284,.361,.549,,.520,14.3,20.8,.195,,.505,11.6,80.8,.196,2018
110,Oklahoma City Thunder,27.9,2,4,.333,2,4,103.5,107.9,-4.4,97.8,.245,.333,.528,,.490,12.7,20.8,.189,,.521,13.7,75.4,.212,2018
111,Toronto Raptors,26.2,4,6,.400,4,6,112.0,116.6,-4.6,94.8,.290,.324,.578,,.536,13.1,23.2,.232,,.541,10.5,79.1,.217,2018
